City_ID,City,Lat,Max Temp,% Humidity,Cloudiness,Wind Speed
265,Kieta,-6.2167,76.46,84,0,3.62
266,Sambava,-14.2667,78.66,86,100,7.72
267,Benguela,-12.5763,79.86,78,100,4.0
268,Nova Venécia,-18.7106,85.44,50,11,3.58
269,Thompson,55.7435,23.0,39,20,6.91
270,Arrondissement d'Ajaccio,42.0,55.4,50,0,8.05
271,Lindi,-10.0,78.8,94,75,8.05
272,Palana,59.1167,13.1,89,16,11.99
273,Dongying,37.4564,41.43,26,93,5.84
274,Liberal,37.0431,55.4,50,1,6.91
275,Luau,-10.7073,65.5,91,100,2.48
276,Portland,45.5234,46.99,69,0,1.16
277,Hofn,64.2539,41.83,78,23,1.86
278,Øksfjord,70.2396,23.0,63,75,10.36
279,Tezu,27.9167,71.51,46,0,4.56
280,Guri-si,37.5986,37.4,60,1,1.14
281,Barra do Garças,-15.89,86.0,70,75,2.3
282,Teyateyaneng,-29.1472,57.88,81,91,8.25
283,Leh,34.1667,24.58,56,68,4.85
284,Esperance,-33.8667,62.6,67,94,13.8
285,Constantine,36.365,46.4,76,75,11.5
286,Colesberg,-30.72,69.39,44,71,4.76
287,Portobelo,9.55,86.0,66,100,5.99
288,Bengkulu,-3.8004,75.22,86,99,4.21
289,Ust'-Kulom,61.6864,30.36,94,100,7.43
290,Ust-Tsilma,65.441,24.24,96,100,1.77
291,Bilma,18.6853,81.45,13,10,8.23
292,Ust'-Barguzin,53.45,11.88,96,100,2.17
293,Mchinji,-13.7984,63.79,96,23,3.49
294,Ampanihy,-24.7,77.13,75,0,5.32
295,Mount Gambier,-37.8333,50.0,100,75,3.44
296,Talcahuano,-36.7167,62.6,77,75,8.05
297,Songjianghe,42.1859,19.08,73,0,4.74
298,Oranjemund,-28.55,63.07,88,0,11.3
299,Okahandja,-21.9833,68.0,68,100,10.36
300,Kiruna,67.8557,12.2,92,100,4.61
301,Mahdasht,35.7299,55.4,54,75,9.22
302,Vestmannaeyjar,63.4427,45.59,89,100,12.59
303,De Aar,-30.6497,69.48,40,40,5.7
304,Dikson,73.5069,-27.22,99,67,3.49
305,Nara,34.6851,54.0,59,32,4.54
306,Dombarovskiy,50.7587,6.24,73,0,5.5
307,Novikovo,51.1537,32.79,75,100,11.52
308,Iskateley,67.6803,11.21,96,100,5.14
309,Zyryanka,65.75,-16.1,99,41,1.03
310,Stalowa Wola,50.5829,44.01,52,100,5.99
311,Kamenka,51.3223,33.01,79,100,5.99
312,Gizo Government Station,-8.103,81.23,71,50,5.53
313,Ballina,-28.8667,69.8,83,90,9.22
314,Sandviken,60.6167,36.0,65,74,1.99
315,Puerto Madero,14.7208,89.6,48,40,8.05
316,Hammerfest,70.6634,19.4,68,75,13.8
317,Narrabri,-30.3167,64.4,72,75,10.36
318,Bathsheba,13.2167,84.2,58,40,20.71
319,Talnakh,69.4865,-31.4,91,39,2.77
320,Ossora,59.2353,9.86,76,0,7.49
321,Port-Gentil,-0.7193,81.21,79,100,13.94
322,Buraidah,26.326,82.4,39,40,6.91
323,Nishihara,26.1842,69.8,88,20,3.44
324,Zuwārah,32.9312,61.79,52,0,8.77
325,Marabu,4.4148,77.0,100,40,2.3
326,Leningradskiy,69.3833,-2.33,97,100,5.53
327,Moa,20.6569,79.02,64,0,15.55
328,Faanui,-16.4833,82.11,71,71,10.04
329,Yar-Sale,66.8333,17.62,96,100,6.6
330,Deputatsky,69.3,-18.27,85,100,3.58
331,Diffa,13.3154,86.49,11,100,6.33
332,Fort Nelson,58.8053,33.8,51,20,4.61
333,Anadyr,64.75,3.2,78,40,4.47
334,Otautau,-46.15,54.0,89,100,13.0
335,Thunder Bay,48.4001,42.8,39,40,3.44
336,Dunedin,-45.8742,55.0,66,52,4.0
337,Fairbanks,64.8378,5.0,78,90,1.66
338,Udachny,66.4167,-27.26,96,34,5.82
339,Namatanai,-3.6667,78.08,81,96,6.11
340,Kítros,40.3756,48.99,52,100,1.01
341,Kavaratti,10.5669,82.96,71,0,8.5
342,Chui,-33.6971,77.81,69,100,13.38
343,Oranjestad,12.524,82.4,65,75,19.57
344,Parole,38.9796,44.6,70,90,11.5
345,Te Anau,-45.4167,42.17,85,51,1.54
346,Guiratinga,-16.3494,83.8,68,69,3.91
347,Praia,14.9215,78.8,47,0,17.27
348,Lompoc,34.6391,55.0,50,1,9.22
349,Salinas,36.6777,53.6,71,40,4.59
350,Antofagasta,-23.65,71.6,60,20,17.27
351,Huacho,-11.1067,77.86,68,100,10.85
352,Nísia Floresta,-6.0911,86.0,65,40,16.11
353,General Roca,-39.0333,77.0,33,75,8.05
354,George Town,5.4112,82.4,78,20,4.61
355,Umluj,25.0213,76.48,73,73,3.53
356,Ponta do Sol,32.6667,63.0,67,20,16.11
357,Chivilcoy,-34.8957,68.0,66,100,7.0
358,Opuwo,-18.0607,70.72,71,87,2.46
359,Saint Lawrence,36.0553,53.01,81,0,10.36
360,Sangar,63.9242,2.62,93,100,12.82
361,Manaure,11.7751,81.84,67,98,18.48
362,Belmonte,-15.8631,82.4,69,40,6.91
363,Karachi,24.9056,75.2,83,100,9.22
364,Port Hardy,50.6996,41.0,81,75,10.36
365,Vágur,61.4732,44.87,82,100,23.22
366,Kosino,58.4127,30.42,96,100,11.92
367,Fort Frances,48.5999,41.0,45,90,3.44
368,Santa Cruz Cabrália,-16.2781,82.4,69,40,6.91
369,Villa Guerrero,18.8667,75.2,25,20,9.22
370,Okha,53.5739,15.28,73,100,15.3
371,Hoopstad,-27.8327,67.26,67,49,4.36
372,Okhotsk,59.3833,-2.02,61,84,22.35
373,Birnin Kebbi,12.4539,88.32,19,8,3.09
374,Puerto Madryn,-42.7692,59.36,65,100,28.59
375,Gannan,47.9147,23.65,61,62,6.55
376,Fortuna,40.5982,50.0,57,1,10.36
377,Praia da Vitória,38.7333,61.0,94,75,16.6
378,Guerrero Negro,27.9769,60.08,48,0,19.35
379,Darhan,49.4867,16.07,81,99,2.82
380,Mtambile,-5.3833,81.68,73,0,11.21
381,Wilmington,34.2257,44.6,87,90,11.5
382,San Patricio,28.017,82.4,74,75,16.11
383,Ushumun,52.7833,6.96,82,0,8.46
384,Boyolangu,-8.1181,74.82,90,41,1.7
385,Samarai,-10.6167,80.98,79,100,7.7
386,Garoowe,8.4054,72.91,76,90,14.23
387,Presidencia Roque Sáenz Peña,-26.7852,99.0,36,100,1.99
388,Ochakiv,46.6128,42.8,93,90,13.42
389,Hay River,60.8156,5.0,72,100,6.91
390,Cururupu,-1.8283,82.2,80,88,5.64
391,Chazuta,-6.5742,82.4,78,90,6.91
392,Botiza,47.6667,39.2,87,90,9.22
393,Grand Gaube,-20.0064,79.0,80,100,5.01
394,Carlisle,40.2015,45.0,40,100,1.99
395,Haines Junction,60.7522,15.8,57,84,4.61
396,Zhanakorgan,43.9098,25.59,74,0,12.12
397,Cerrito,6.8432,75.2,73,75,11.5
398,Koshurnikovo,54.1667,6.06,96,100,2.17
399,Gamba,-2.65,78.84,80,99,5.41
400,Ngunguru,-35.6167,57.99,92,67,11.88
401,Wenling,28.3669,60.01,93,98,7.56
402,Challans,46.8436,53.6,87,0,5.75
403,Redcliffe,-27.2307,70.0,94,90,8.05
404,Villa Zempoala,19.45,90.0,51,1,3.44
405,Souillac,-20.5167,80.6,74,40,10.36
